programa_sigla,programa_nome,categoria,docente_nome,fonte_url,data_coleta
PGAST,Astrofisica,Docente Colaborador,Jaziel Goulart Coelho,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Colaborador,Massimo Tinto,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Colaborador,Rafael da Costa Nunes,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Colaborador,Tabata Aira Ferreira,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Colaborador,Zulema Abraham,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Alberto Rodriguez Ardila,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Andre de Castro Milone,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Camila Paiva Novaes,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Carlos Alexandre Wuensche de Souza,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Claudia Vilega Rodrigues,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Diego Antonio Falceta Goncalves,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Eder Martioli,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Felipe de Almeida Fernandes,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Flavio D'Amico,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Francisco Jose Jablonski,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Grzegorz Kowal,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Isabel Regina Guerra Aleman,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Joaquim Eduardo Rezende Costa,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Jose Carlos Neves de Araujo,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Marcio Eduardo da Silva Alves,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Marcio Guilherme Bronzato de Avellar,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Odylio Denys de Aguiar,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
PGAST,Astrofisica,Docente Permanente,Paulo Eduardo Freire Stecchini,https://www.gov.br/inpe/pt-br/area-conhecimento/posgraduacao/ast/docentes,2026-04-08
