sigla_mat,nome_mat,first_period,last_period,rows
CAP242,Metodologia Cientíca em Computação Aplicada,202601,202601,1
CAP335,Aprendizado Computacional e Reconhecimento de Padrões,202601,202601,1
CAP351,Neurocomputação,202601,202601,1
CAP368,Introdução à Teoria de Sistemas Dinâmicos,202601,202601,1
CAP395,Geoinformática,202601,202601,1
CAP417,Estatística Computacional,202601,202601,1
CAP418,Métodos Numéricos I,202601,202601,1
CAP419,Introdução à Programação com Dados Geoespaciais,202601,202601,1
CAP501,Seminários em Computação Aplicada I,202601,202601,1
CAP502,Seminários em Computação Aplicada II,202601,202601,1
CAP511,Extensão em Computação Aplicada e Tecnologias Digitais I,202601,202601,1
