sigla_mat,nome_mat,first_period,last_period,title_variants,rows_for_canonical_title
CAP103,Tópicos Básicos em Computação,199401,199501,1,2
CAP104,Fundamentos de Organização de Computadores,199501,199702,1,3
CAP105,Fundamentos de Sistemas Operacionais e Redes,199502,199703,1,2
CAP106,Fundamentos de Autômatos e Linguagens Formais,199503,199503,1,1
CAP107,"Fundamentos de Autômatas, Linguagens Formais e Computabilidade",199603,199603,1,1
CAP200,Matemática Concreta e Estrutura Algébricas,200501,200801,2,4
CAP201,Introdução à Lógica,198402,198602,1,3
CAP202,Introdução à Rede de Computadores,198501,198501,1,1
CAP203,Programação Estruturada,198502,198502,1,1
CAP204,Estrutura e Algoritmos,199001,199701,4,8
CAP205,Engenharia de Software,199001,200501,1,16
CAP206,Elementos Finitos,199001,199001,1,1
CAP207,Lógica,199001,199301,1,4
CAP208,Sistemas de Banco de Dados,199102,200002,2,9
CAP209,Elementos de Lógica para Inteligência Artificial,199102,199102,1,1
CAP210,Lógicas não Clássicas para Inteligência Artificial,199202,199401,1,2
CAP211,Processamento de Alto Desempenho I,199901,200001,3,2
CAP212,Estrutura de Dados,198201,198601,1,4
CAP213,Lógica para Inteligência Artificial,199401,199802,2,5
CAP214,Métodos Numéricos I,200001,200901,1,10
CAP215,Organização de Computadores I,198601,198601,1,1
CAP216,Linguagens de Programação para Inteligência Artificial,198601,198601,1,1
CAP217,Processamento Digital de Sinais,199001,200003,1,8
CAP218,Processos Estocásticos,199001,200502,1,17
CAP219,Programação Matemática,199202,199202,1,1
CAP220,Métodos em Otimização,199301,199901,1,7
CAP221,Cálculo Numérico,199401,199701,1,5
CAP222,Fundamentos da Teoria dos Conjuntos Nebulosos e da Teoria de Possibilidades,199403,200702,2,9
CAP223,Estrutura e Algoritmos,200002,200602,1,7
CAP224,Processamento Digital de Imagens,200002,201502,1,15
CAP225,Processamento de Alto Desempenho I,200101,200601,1,6
CAP226,Física Estatística Computacional,199702,199902,1,3
CAP227,Segurança de Redes e Sistemas de Informação I,200102,200602,2,5
CAP228,"Linguagens Formais, Autômatos e Construção de Compiladores",200201,200801,1,7
CAP229,Sistemas Operacionais,200201,200401,2,3
CAP230,Computação Gráfica I,200302,200502,1,3
CAP231,Processos Estocásticos,200601,200902,1,4
CAP232,Matemática Computacional I,201001,201501,1,6
CAP233,Estruturas e Algoritmos,200802,200802,2,1
CAP234,Computação Aplicada I,201001,201501,1,6
CAP235,Matemática Computacional II,201002,201702,1,8
CAP236,Computação Aplicada II,201002,201503,1,6
CAP237,Sistemas Caóticos,201202,202403,1,6
CAP238,e-Infraestruturas para Ciência e Engenharia,201401,201401,1,1
CAP239,Matemática Computacional I,201601,202001,1,5
CAP240,Processamento Digital de Imagens,201602,202003,1,6
CAP241,Computação Aplicada I,201601,202001,1,5
CAP242,Metodologia Científica em Computação Aplicada,201901,202601,1,8
CAP250,Álgebra para a Ciência da Computação,197901,198703,1,5
CAP251,Álgebra para a Ciência da Computação,198501,198601,1,2
CAP252,Computação Gráfica I,199002,200202,1,11
CAP253,Inteligência Artificial I,199002,200201,1,12
CAP254,Otimização Combinatória,199002,201703,1,26
CAP255,Simulação de Sistemas,199002,199303,1,4
CAP256,Redes de Computadores,199002,199103,1,2
CAP257,Inteligência Artificial I,199501,199501,1,1
CAP258,Redes de Comunicação de Dados,199202,200601,1,12
CAP259,Simulação de Sistemas,199602,200501,1,11
CAP260,Sistemas Caóticos I,199902,201103,3,10
CAP300,Compiladores: Técnicas e Construção,198501,198701,1,3
