prefix,sigla_mat,nome_mat
ADA,ADA002,Introdução a Computação
ADA,ADA003,Conceitos Básicos de Programação
ADA,ADA004,Revisão de Conceitos Básicos de Matemática
ADA,ADA010,Introdução a Automata e Copiladores
ADA,ADA011,Introdução à Organização de Computadores
ADA,ADA012,Introdução ao Sistema Operacionais
ADA,ADA013,Matemática para Computação
ADA,ADA015,Autômata e Compiladores
ADA,ADA016,Organização de Computadores
ADA,ADA017,Sistemas Operacionais
ADA,ADA019,Técnicas de Programação
ADA,ADA023,Introdução aos Métodos Matemáticos
ADA,ADA024,Introdução a Álgebra Linear
ADA,ADA026,Introdução a Teoria Econômica
ADA,ADA037,Introdução a Linguagens de Programação
ANS,ANS002,Pesquisa Operacional I
ANS,ANS007,Introdução aos Modelos Econômicos
ANS,ANS030,Dissertação de Mestrado
ANS,ANS100,Introdução a Econômia
ANS,ANS240,Princípios de Administração
ANS,ANS262,Otimização de Sistemas I
ANS,ANS300,Econometria
ANS,ANS309,Teoria Econômica
ANS,ANS320,Teoria Micro-Econômica
ANS,ANS324,Teoria de Controle
ANS,ANS327,Método de Planejamento e Projeto de Sistemas
ANS,ANS328,Avaliação Econômica de Projetos
ANS,ANS332,Teoria de Controle
ANS,ANS402,Desenvolvimento e Programação Econômica
ANS,ANS410,Controle Ótimo de Sistemas Dinâmicos: Métodos Numéricos
ANS,ANS411,Tópicos Especiais da Teoria da Estimação
ANS,ANS421,Algoritmos Especiais de Programação Matemática
ANS,ANS450,Programação Matemática
ANS,ANS482,Análise de Sistemas Discreto no Tempo
ANS,ANS500,Seminários
ANS,ANS501,Seminário
ANS,ANS510,Seminário de Engenharia de Sistemas
ANS,ANS600,Trabalho de Laboratório
ANS,ANS602,Trabalho de Laboratório
ANS,ANS620,Projeto Coletivo ANS-Dissertação
ANS,ANS621,Docência
ANS,ANS622,Docência
ANS,ANS623,Docência
ANS,ANS730,Pesquisa de Mestrado em Análise de Sistemas
ANS,ANS750,Dissertação de Mestrado em Análise de Sistemas
ANS,ANS780,Pesquisa de Doutorado
ANS,ANS800,Tese de Doutorado
AST,AST200,Evolução Estelar I
AST,AST203,Técnicas Observacionais em Astrofísica
AST,AST204,Processos Radiativos I
AST,AST402,Introdução à Relatividade Geral
AST,AST408,Astrofísica Computacional
AST,AST413,Fundamentos de Cosmologia
BPL,BPL001,Curso de Boas Práticas de Laboratório
CAP,CAP103,Tópicos Básicos em Computação
CAP,CAP104,Fundamentos de Organização de Computadores
CAP,CAP105,Fundamentos de Sistemas Operacionais e Redes
CAP,CAP106,Fundamentos de Autômatos e Linguagens Formais
CAP,CAP107,"Fundamentos de Autômatas,  Linguagens Formais e Computabilidade"
CAP,CAP200,Matemática Concreta e Estrutura Algébricas
CAP,CAP201,Introdução à Lógica
CAP,CAP202,Introdução à Rede de Computadores
CAP,CAP203,Programação Estruturada
CAP,CAP204,Estrutura e Algoritmos
CAP,CAP205,Engenharia de Software
CAP,CAP207,Lógica
CAP,CAP208,Sistemas de Banco de Dados
CAP,CAP210,Lógicas não Clássicas para Inteligência Artificial
CAP,CAP211,Processamento de Alto Desempenho I
CAP,CAP212,Estrutura de Dados
CAP,CAP213,Lógica para Inteligência Artificial
CAP,CAP214,Métodos Numéricos I
CAP,CAP216,Linguagens de Programação para Inteligência Artificial
CAP,CAP217,Processamento Digital de Sinais
CAP,CAP218,Processos Estocásticos
CAP,CAP220,Métodos em Otimização
CAP,CAP221,Cálculo Numérico
CAP,CAP222,Fundamentos da Teoria dos Conjuntos Nebulosos e da Teoria de Possibilidades
CAP,CAP223,Estrutura e Algoritmos
CAP,CAP224,Processamento Digital de Imagens
CAP,CAP225,Processamento de Alto Desempenho I
CAP,CAP226,Física Estatística Computacional
CAP,CAP227,Segurança de Redes e Sistemas de Informação I
CAP,CAP228,"Linguagens Formais, Autômatos e Construção de Compiladores"
CAP,CAP229,Sistemas Operacionais
CAP,CAP230,Computação Gráfica I
CAP,CAP231,Processos Estocásticos
CAP,CAP232,Matemática Computacional I
CAP,CAP233,Estrutura e Algoritmos
CAP,CAP234,Computação Aplicada I
CAP,CAP235,Matemática Computacional II
CAP,CAP236,Computação Aplicada II
CAP,CAP237,Sistemas Caóticos
CAP,CAP239,Matemática Computacional I
CAP,CAP240,Processamento Digital de Imagens
CAP,CAP241,Computação Aplicada I
CAP,CAP242,Metodologia Cientíca em Computação Aplicada
CAP,CAP250,Álgebra para a Ciência da Computação
CAP,CAP251,Álgebra para a Ciência da Computação
CAP,CAP252,Computação Gráfica I
CAP,CAP253,Inteligência Artificial I
CAP,CAP254,Otimização Combinatória
CAP,CAP255,Simulação de Sistemas
CAP,CAP256,Redes de Computadores
CAP,CAP257,Inteligência Artificial I
CAP,CAP258,Redes de Comunicação de Dados
CAP,CAP259,Simulação de Sistemas
CAP,CAP260,Sistemas Caóticos I
CAP,CAP300,Compiladores: Técnicas e Construção
CAP,CAP302,Gráficos por Computador
CAP,CAP303,Programação de Sistemas
CAP,CAP304,Introdução à Inteligência Artificial
CAP,CAP305,Análise de Algoritmos
CAP,CAP306,Métodos Numéricos I
CAP,CAP307,Introdução a Dinâmica Não-Linear Computacional
CAP,CAP308,Computação Gráfica II
CAP,CAP309,Inteligência Artificial II
CAP,CAP310,Sistemas Operacionais
CAP,CAP311,Física Matemática
CAP,CAP312,Programação de Redes de Computadores
CAP,CAP313,Bases de Morfologia Matemática para Análise de Imagens
CAP,CAP314,Neurocomputação
CAP,CAP315,Processamento de Alto Desempenho II
CAP,CAP316,Sistemas de Banco de Dados
CAP,CAP317,O Processamento de Linguagem Natural na Interação Homem-Máquina
CAP,CAP318,Metodologias Orientadas a Objetos
CAP,CAP319,Redes Neurais em Controle de Sistemas
CAP,CAP320,Análise Numérica I
CAP,CAP321,Visualização Científica
CAP,CAP322,Mecânica dos Fluidos Computacional
CAP,CAP323,Fenômenos de Transporte Computacional
CAP,CAP324,Bases da Morfologia Matemática para Análise de Imagens
CAP,CAP325,Tópicos  Avançados em Simulação de Sistemas
CAP,CAP326,Tópicos em Engenharia de Software
CAP,CAP327,Tópicos Avançados em Simulação de Sistemas
CAP,CAP328,Teoria do Controle Inteligente
CAP,CAP329,Análise e Simulação de Materiais Semicondutores
