id_add_producao_intelectual,an_base,sg_entidade_ensino,cd_programa_ies,nm_programa_ies,qtd_autores_total,qtd_tp_autor_sem_informacao,qtd_tp_autor_discente,qtd_tp_autor_docente,qtd_tp_autor_egresso,qtd_tp_autor_participante_externo,qtd_tp_autor_participante_x0020_externo,qtd_tp_autor_pos_doc,qtd_tp_autor_x002d
18706269,2013,INPE,33010013003P8,METEOROLOGIA,6,5,0,1,0,0,0,0,0
18706270,2013,INPE,33010013003P8,METEOROLOGIA,3,0,0,1,0,2,0,0,0
18706893,2013,INPE,33010013003P8,METEOROLOGIA,5,1,2,2,0,0,0,0,0
18706894,2013,INPE,33010013003P8,METEOROLOGIA,6,2,1,1,0,2,0,0,0
18706896,2013,INPE,33010013003P8,METEOROLOGIA,3,0,1,2,0,0,0,0,0
18706898,2013,INPE,33010013003P8,METEOROLOGIA,3,0,1,2,0,0,0,0,0
18706903,2013,INPE,33010013003P8,METEOROLOGIA,6,3,1,2,0,0,0,0,0
18706904,2013,INPE,33010013003P8,METEOROLOGIA,2,0,0,1,0,1,0,0,0
18706907,2013,INPE,33010013003P8,METEOROLOGIA,2,0,0,1,0,1,0,0,0
18706930,2013,INPE,33010013003P8,METEOROLOGIA,4,1,0,2,0,1,0,0,0
18706934,2013,INPE,33010013003P8,METEOROLOGIA,4,1,0,2,0,1,0,0,0
18706938,2013,INPE,33010013003P8,METEOROLOGIA,3,1,0,2,0,0,0,0,0
18706940,2013,INPE,33010013003P8,METEOROLOGIA,3,0,0,2,0,1,0,0,0
18706941,2013,INPE,33010013003P8,METEOROLOGIA,2,0,1,1,0,0,0,0,0
18706942,2013,INPE,33010013003P8,METEOROLOGIA,2,0,1,1,0,0,0,0,0
18706952,2013,INPE,33010013003P8,METEOROLOGIA,6,1,2,2,0,1,0,0,0
18706959,2013,INPE,33010013003P8,METEOROLOGIA,10,3,1,2,0,4,0,0,0
18706960,2013,INPE,33010013003P8,METEOROLOGIA,4,1,0,1,0,2,0,0,0
18706972,2013,INPE,33010013003P8,METEOROLOGIA,3,1,1,1,0,0,0,0,0
18706973,2013,INPE,33010013003P8,METEOROLOGIA,2,0,0,1,0,1,0,0,0
18706977,2013,INPE,33010013003P8,METEOROLOGIA,1,0,0,1,0,0,0,0,0
18706982,2013,INPE,33010013003P8,METEOROLOGIA,4,2,0,1,0,1,0,0,0
18706989,2013,INPE,33010013003P8,METEOROLOGIA,3,0,2,1,0,0,0,0,0
18707011,2013,INPE,33010013003P8,METEOROLOGIA,1,0,0,1,0,0,0,0,0
18707012,2013,INPE,33010013003P8,METEOROLOGIA,4,0,0,2,0,2,0,0,0
18707013,2013,INPE,33010013003P8,METEOROLOGIA,3,0,0,2,0,1,0,0,0
