id_add_producao_intelectual,an_base,cd_programa_ies,nm_programa_ies,com_discentes,com_egressos,com_egressos_ou_discentes
18706892,2013,33010013003P8,METEOROLOGIA,false,false,false
18706899,2013,33010013003P8,METEOROLOGIA,false,false,false
18706900,2013,33010013003P8,METEOROLOGIA,false,false,false
18706902,2013,33010013003P8,METEOROLOGIA,false,false,false
18706906,2013,33010013003P8,METEOROLOGIA,true,false,true
18706909,2013,33010013003P8,METEOROLOGIA,false,false,false
18706910,2013,33010013003P8,METEOROLOGIA,true,false,true
18706911,2013,33010013003P8,METEOROLOGIA,false,false,false
18706914,2013,33010013003P8,METEOROLOGIA,true,false,true
18706915,2013,33010013003P8,METEOROLOGIA,true,false,true
18706916,2013,33010013003P8,METEOROLOGIA,false,false,false
18706918,2013,33010013003P8,METEOROLOGIA,true,false,true
18706919,2013,33010013003P8,METEOROLOGIA,true,false,true
18706920,2013,33010013003P8,METEOROLOGIA,false,false,false
18706921,2013,33010013003P8,METEOROLOGIA,false,false,false
18706922,2013,33010013003P8,METEOROLOGIA,false,false,false
18706923,2013,33010013003P8,METEOROLOGIA,true,false,true
18706925,2013,33010013003P8,METEOROLOGIA,false,false,false
18706927,2013,33010013003P8,METEOROLOGIA,false,false,false
18706928,2013,33010013003P8,METEOROLOGIA,false,false,false
18706929,2013,33010013003P8,METEOROLOGIA,false,false,false
18706931,2013,33010013003P8,METEOROLOGIA,true,false,true
18706932,2013,33010013003P8,METEOROLOGIA,true,false,true
18706935,2013,33010013003P8,METEOROLOGIA,false,false,false
18706936,2013,33010013003P8,METEOROLOGIA,false,false,false
18706937,2013,33010013003P8,METEOROLOGIA,false,false,false
18706939,2013,33010013003P8,METEOROLOGIA,true,false,true
18706943,2013,33010013003P8,METEOROLOGIA,false,false,false
18706947,2013,33010013003P8,METEOROLOGIA,false,false,false
18706948,2013,33010013003P8,METEOROLOGIA,true,false,true
18706951,2013,33010013003P8,METEOROLOGIA,false,false,false
18706954,2013,33010013003P8,METEOROLOGIA,false,false,false
18706956,2013,33010013003P8,METEOROLOGIA,false,false,false
18706957,2013,33010013003P8,METEOROLOGIA,true,false,true
18706958,2013,33010013003P8,METEOROLOGIA,false,false,false
18706961,2013,33010013003P8,METEOROLOGIA,false,false,false
18706962,2013,33010013003P8,METEOROLOGIA,false,false,false
18706964,2013,33010013003P8,METEOROLOGIA,false,false,false
18706965,2013,33010013003P8,METEOROLOGIA,false,false,false
18706968,2013,33010013003P8,METEOROLOGIA,false,false,false
18706969,2013,33010013003P8,METEOROLOGIA,false,false,false
18706970,2013,33010013003P8,METEOROLOGIA,false,false,false
18706971,2013,33010013003P8,METEOROLOGIA,false,false,false
18706974,2013,33010013003P8,METEOROLOGIA,true,false,true
18706975,2013,33010013003P8,METEOROLOGIA,false,false,false
18706979,2013,33010013003P8,METEOROLOGIA,true,false,true
18706980,2013,33010013003P8,METEOROLOGIA,true,false,true
18706986,2013,33010013003P8,METEOROLOGIA,false,false,false
18706987,2013,33010013003P8,METEOROLOGIA,false,false,false
18706988,2013,33010013003P8,METEOROLOGIA,false,false,false
18707016,2013,33010013003P8,METEOROLOGIA,false,false,false
18707017,2013,33010013003P8,METEOROLOGIA,false,false,false
18707018,2013,33010013003P8,METEOROLOGIA,true,false,true
18707019,2013,33010013003P8,METEOROLOGIA,false,false,false
18707020,2013,33010013003P8,METEOROLOGIA,true,false,true
18707021,2013,33010013003P8,METEOROLOGIA,false,false,false
18707022,2013,33010013003P8,METEOROLOGIA,false,false,false
18707023,2013,33010013003P8,METEOROLOGIA,false,false,false
18707024,2013,33010013003P8,METEOROLOGIA,false,false,false
18707026,2013,33010013003P8,METEOROLOGIA,true,false,true
18707027,2013,33010013003P8,METEOROLOGIA,false,false,false
18707028,2013,33010013003P8,METEOROLOGIA,true,false,true
18707029,2013,33010013003P8,METEOROLOGIA,true,false,true
18707030,2013,33010013003P8,METEOROLOGIA,true,false,true
